id,Assigned Dealer Account,zip,route,,,,,,,,,,,,,
1,SX Absolute,33510,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
2,SX Absolute,33511,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
3,SX Absolute,33527,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
4,SX Absolute,33534,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
5,SX Absolute,33547,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
6,SX Absolute,33548,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
7,SX Absolute,33549,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
8,SX Absolute,33556,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
9,SX Absolute,33558,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
10,SX Absolute,33559,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
11,SX Absolute,33563,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
12,SX Absolute,33565,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
13,SX Absolute,33566,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
14,SX Absolute,33567,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
15,SX Absolute,33569,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
16,SX Absolute,33570,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
17,SX Absolute,33572,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
18,SX Absolute,33573,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
19,SX Absolute,33578,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
20,SX Absolute,33579,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
21,SX Absolute,33584,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
22,SX Absolute,33592,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
23,SX Absolute,33594,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
24,SX Absolute,33596,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
25,SX Absolute,33598,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
26,SX Absolute,33602,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
27,SX Absolute,33603,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
28,SX Absolute,33604,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
29,SX Absolute,33605,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
30,SX Absolute,33606,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
31,SX Absolute,33607,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
32,SX Absolute,33609,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
33,SX Absolute,33610,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
34,SX Absolute,33611,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
35,SX Absolute,33612,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
36,SX Absolute,33613,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
37,SX Absolute,33614,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
38,SX Absolute,33615,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
39,SX Absolute,33616,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
40,SX Absolute,33617,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,, 
41,SX Absolute,33618,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
42,SX Absolute,33619,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
43,SX Absolute,33620,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
44,SX Absolute,33621,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
45,SX Absolute,33622,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
46,SX Absolute,33624,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
47,SX Absolute,33625,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
48,SX Absolute,33626,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
49,SX Absolute,33629,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
50,SX Absolute,33634,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
51,SX Absolute,33635,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
52,SX Absolute,33637,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
53,SX Absolute,33647,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
54,SX Absolute,33701,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
55,SX Absolute,33702,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
56,SX Absolute,33703,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
57,SX Absolute,33704,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
58,SX Absolute,33705,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
59,SX Absolute,33706,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
60,SX Absolute,33707,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
61,SX Absolute,33708,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
62,SX Absolute,33709,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
63,SX Absolute,33710,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
64,SX Absolute,33711,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
65,SX Absolute,33712,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
66,SX Absolute,33713,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
67,SX Absolute,33714,https://pergola.struxure.com/absolute-2,,,,,,,,,,,,,
